Tiago Nogueira;63;245459345;tnogueira@hotmail.com;344456789;7000
Ricardo Almeida;55;275359345;ralmeida@gmail.com;566423489;5500
Joana Mafalda;45;234123312;jonitas31@hotmail.com;547734321;4000
Arnaldo Joaquim;64;123432989;Quinzinho66@hotmail.com;134090899;5000
Maria Urtiga;54;932933999;FlordoJardim33@hotmail.com;123412948;2200
Bartolomeu Peixito;52;312423892;Peixito52@gmail.com;132989889;3000
Ramalde Carmo;49;932346757;12Carmo31@hotmail.com;183928912;4000
Cristiano Ronaldo;29;913445358;CR7MelhorDoMundo@hotmail.com;109929312;10000
Francisco Almeida;33;294823903;franmeida@gmail.com;917993300;7000
Jose Peixoto;37;692642782;josepeixoto@gmail.com;742483213;9000
